year_month,count
2018-08,23544
2018-09,20357
2018-10,21459
2018-11,21474
2018-12,20398
2019-01,20605
2019-02,19224
2019-03,20559
2019-04,19128
2019-05,20719
2019-06,19006
2019-07,20785
2019-08,20835
2019-09,21430
2019-10,22903
2019-11,20465
2019-12,20514
2020-01,24523
2020-02,22620
2020-03,23021
2020-04,22457
2020-05,22416
2020-06,22964
2020-07,26155
2020-08,24737
2020-09,24494
2020-10,26110
2020-11,27084
2020-12,26225
2021-01,24907
2021-02,24377
2021-04,25205
2021-05,27002
2021-06,26305
2021-07,25768